BMG_ID,Occupancy,Household Ownership,Landlord Type,Green Energy,Eco Type,Gas Supply,Smart Meter,Meter Reading Frequency,Primary Heating,EV,Property Type,Number of bedrooms,Main Heating System,Water Heating System,Appliances,Number of Appliances
956636900,2.0,Rent,Council,Unknown,No,Mains,No,Regularly,Gas boiler,No,Semi detached,3.0,"Programmer/timer, Room thermostats",Gas or oil direct heating,"Standalone tumble dryer, Standalone washing machine, Gas oven, Fridge, Standalone freezer, Toaster, Kettle, Microwave, TV with a screen less than 21 inches, TV with a screen more than 21 inches, Games console, Mobile phones, PC/laptop, Handheld devices, Vacuum cleaner, Bath, Shower, Hair drier",18
956636995,1.0,Mortgage,Unknown,No,No,Mains,No,Asked to by provider,Gas boiler,No,Detached,4.0,"Programmer/timer, Single house thermostat, Thermostatic radiator valves",Gas or oil direct heating,"Coffee-maker, Standalone tumble dryer, Standalone washing machine, Dishwasher, Electric oven, Gas hob, Fridge-freezer, Toaster, Kettle, Microwave, DVD player/Personal Video Recorder (PVR), Vacuum cleaner, Bath, Shower, Hair drier",15
956637004,1.0,Mortgage,Unknown,Unknown,Unknown,Mains,No,Electricity bills,Gas boiler,No,Detached,4.0,"Programmer/timer, Single house thermostat, Thermostatic radiator valves",Gas or oil direct heating,"Coffee-maker, Combined washing machine and tumble dryer, Electric oven, Gas hob, Fridge, Standalone freezer, Toaster, Kettle, Microwave, Games console, Shower, Hair drier",12
956637042,1.0,Own,Unknown,Unknown,No,No,No,Regularly,Oil,No,Detached,6.0,"Programmer/timer, Room thermostats, Thermostatic radiator valves","Gas, oil or solid fuel","Coffee-maker, Standalone tumble dryer, Electric hob, Electric oven, Fridge, Standalone freezer, Toaster, Kettle, Microwave, DVD player/Personal Video Recorder (PVR), Games console, Air conditioning unit, Plug in electric heater",13
956637071,2.0,Own,Unknown,No,Unknown,Mains,Unknown,Asked to by provider,Electric Heater,No,Detached,5.0,"Programmer/timer, Room thermostats",Unknown,"Coffee-maker, Standalone tumble dryer, Standalone washing machine, Dishwasher, Electric hob, Electric oven, Fridge-freezer, Fridge, Standalone freezer, Toaster, Kettle, Microwave, Plug in electric heater, Bath, Shower",15
956637154,1.0,Own,Unknown,Unknown,No,Mains,No,Asked to by provider,Gas boiler,No,Detached,6.0,"Programmer/timer, Single house thermostat","Electric immersion heater, Gas or oil direct heating, Solar heating","Standalone tumble dryer, Standalone washing machine, Dishwasher, Electric oven, Gas hob, Fridge-freezer, Fridge, Toaster, Kettle, Microwave, TV with a screen less than 21 inches, TV with a screen more than 21 inches, Cooling fans, Plug in electric heater, Vacuum cleaner, Bath, Power shower",17
956637157,2.0,Mortgage,Unknown,No,No,Mains,No,When billed,Gas boiler,No,Terraced,3.0,Programmer/timer,Gas or oil direct heating,"Standalone tumble dryer, Standalone washing machine, Dishwasher, Gas hob, Gas oven, Fridge, Standalone freezer, Toaster, Kettle, Microwave, Vacuum cleaner, Bath, Shower, Electric blanket, Hair drier",15
956637212,2.0,Own,Unknown,Unknown,Unknown,Mains,Unknown,Electricity bills,Solid fuel,No,Semi detached,3.0,Room thermostats,Electric immersion heater,"Combined washing machine and tumble dryer, Dishwasher, Electric hob, Electric oven, Fridge-freezer, Fridge, Toaster, Kettle, Microwave, DVD player/Personal Video Recorder (PVR), Games console, PC/laptop, Vacuum cleaner, Bath, Power shower",15
956637367,2.0,Mortgage,Unknown,No,No,Mains,No,Electricity bills,Gas boiler,No,Semi detached,4.0,Room thermostats,Gas or oil direct heating,"Standalone tumble dryer, Standalone washing machine, Dishwasher, Gas hob, Gas oven, Fridge-freezer, Standalone freezer, Kettle, Microwave, TV with a screen more than 21 inches, DVD player/Personal Video Recorder (PVR), Games console, Handheld devices, Vacuum cleaner, Bath, Power shower",16
956637374,2.0,Rent,Council,No,No,Mains,No,Do not read,Gas boiler,No,Semi detached,3.0,"Programmer/timer, Thermostatic radiator valves","Gas, oil or solid fuel","Standalone tumble dryer, Standalone washing machine, Dishwasher, Electric oven, Gas hob, Fridge, Toaster, Kettle, Microwave, TV with a screen less than 21 inches, TV with a screen more than 21 inches, DVD player/Personal Video Recorder (PVR), PC/laptop, Vacuum cleaner, Bath, Power shower, Electric blanket",17
956637850,2.0,Mortgage,Unknown,No,No,Mains,No,Regularly,Gas boiler,No,Semi detached,4.0,Single house thermostat,"Electric immersion heater, Gas or oil direct heating","Standalone tumble dryer, Standalone washing machine, Dishwasher, Electric hob, Electric oven, Fridge-freezer, Fridge, Toaster, Kettle, Microwave, TV with a screen less than 21 inches, Vacuum cleaner, Bath, Power shower, Hair drier",15
956637976,1.0,Mortgage,Unknown,No,Unknown,Mains,No,Asked to by provider,Gas boiler,No,Detached,4.0,Programmer/timer,Gas or oil direct heating,"Combined washing machine and tumble dryer, Dishwasher, Electric oven, Gas oven, Fridge-freezer, Fridge, Standalone freezer, Toaster, Kettle, Microwave, TV with a screen more than 21 inches, DVD player/Personal Video Recorder (PVR)",12
956638079,1.0,Mortgage,Unknown,No,Unknown,Mains,No,Unknown,Gas boiler,No,Detached,4.0,"Programmer/timer, Room thermostats, Thermostatic radiator valves",Gas or oil direct heating,"Standalone tumble dryer, Standalone washing machine, Dishwasher, Electric oven, Gas hob, Fridge, Standalone freezer, Toaster, Kettle, Microwave, TV with a screen more than 21 inches, DVD player/Personal Video Recorder (PVR), Games console, Vacuum cleaner, Power shower, Hair drier",16
956638151,2.0,Rent,Council,No,No,Mains,Smart electricity meter,Regularly,Gas boiler,No,Terraced,3.0,Single house thermostat,"Gas or oil direct heating, Solar heating, Other","Coffee-maker, Combined washing machine and tumble dryer, Standalone tumble dryer, Standalone washing machine, Electric hob, Fridge-freezer, Toaster, Kettle, Microwave, DVD player/Personal Video Recorder (PVR), Games console, PC/laptop, Handheld devices, Vacuum cleaner, Bath, Power shower, Hair drier",17
956638157,1.0,Own,Unknown,No,No,Mains,No,When billed,Gas boiler,No,Semi detached,3.0,"Programmer/timer, Single house thermostat, Thermostatic radiator valves",Gas or oil direct heating,"Coffee-maker, Standalone tumble dryer, Standalone washing machine, Dishwasher, Electric oven, Gas hob, Fridge-freezer, Toaster, Kettle, Microwave, DVD player/Personal Video Recorder (PVR), Games console, Vacuum cleaner, Bath, Shower, Hair drier",16
956638193,1.0,Own,Unknown,No,No,Mains,No,Do not read,Gas boiler,No,Detached,4.0,"Programmer/timer, Single house thermostat",Other,"Standalone tumble dryer, Standalone washing machine, Dishwasher, Electric hob, Electric oven, Toaster, Kettle, Microwave, TV with a screen more than 21 inches, Vacuum cleaner, Bath, Power shower, Hair drier",13
956638201,1.0,Rent,Housing association,No,No,Mains,Both,Asked to by provider,Gas boiler,No,Flat,2.0,Programmer/timer,Gas or oil direct heating,"Standalone tumble dryer, Standalone washing machine, Electric hob, Electric oven, Fridge, Standalone freezer, Toaster, Kettle, Microwave, DVD player/Personal Video Recorder (PVR), Vacuum cleaner, Bath",12
956638215,2.0,Mortgage,Unknown,Unknown,No,Mains,No,When billed,Gas boiler,No,Semi detached,3.0,"Programmer/timer, Thermostatic radiator valves",Gas or oil direct heating,"Coffee-maker, Standalone tumble dryer, Standalone washing machine, Dishwasher, Electric oven, Gas hob, Fridge-freezer, Toaster, Kettle, Microwave, DVD player/Personal Video Recorder (PVR), Games console, Handheld devices, Vacuum cleaner, Bath, Shower, Electric blanket, Hair drier",18
956638259,2.0,Mortgage,Unknown,Unknown,No,Unknown,No,When billed,Gas boiler,No,Detached,4.0,"Programmer/timer, Single house thermostat, Thermostatic radiator valves",Electric immersion heater,"Standalone washing machine, Electric hob, Electric oven, Fridge-freezer, Toaster, Kettle, Microwave, Handheld devices, Vacuum cleaner, Shower",10
